,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost,,Stats Table,,,,,,,,
124,-6,14,233.5,107.4,0.6,125.5,,,,2993,0,13,205.7,104.6,0.7,100.4
125,-6,14,211.6,99.2,0.5,111.9,,,,2994,0,16,184.4,101.3,1,82.1
126,-6,17,211.7,101.7,0.6,109.4,,,,2995,0,16,182,100,0.9,81.2
127,-6,17,215.3,102.8,0.5,112,,,,2996,0,16,188.8,102.6,1,85.1
128,-6,17,196.1,96.4,0.7,99,,,,2997,0,19,179.4,101.8,1.2,76.4
129,-6,11,229.2,102,1,126.2,,,,2998,0,19,187.5,102.1,1.2,84.2
130,-6,11,219.9,97.7,0.8,121.3,,,,2999,0,19,187.1,103.5,1.3,82.3
131,-6,11,239.5,104,0.7,134.8,,,,,,,,,,
132,-6,13,232,104.6,0.6,126.9,,,,,,,,,,
133,-6,13,215.7,100.5,0.4,114.8,,,,,,,,,,
134,-6,13,210.6,97.5,0.6,112.5,,,,,,,,,,
135,-6,2,277.7,104.6,0.6,172.4,,,,,,,,,,
136,-6,2,271.8,102.5,0.7,168.7,,,,,,,,,,
137,-6,2,270.6,101.8,0.6,168.2,,,,,,,,,,
138,-6,0,277.6,102,0.3,175.2,,,,,,,,,,
139,-6,0,262,96.9,0.9,164.2,,,,,,,,,,
140,-6,0,286.7,103.8,0.8,182.2,,,,,,,,,,
141,-6,7,256.7,105.8,0.6,150.2,,,,,,,,,,
142,-6,7,249.7,103.2,0.7,145.8,,,,,,,,,,
143,-6,7,245.2,102.8,0.5,141.9,,,,,,,,,,
144,-6,11,240.4,105.2,0.7,134.6,,,,,,,,,,
145,-6,11,223,99.1,0.5,123.4,,,,,,,,,,
146,-6,11,225.3,101.3,0.4,123.6,,,,,,,,,,
147,-6,8,241.3,102.9,0.4,138,,,,,,,,,,
148,-6,8,254.1,105.8,0.3,147.9,,,,,,,,,,
149,-6,8,249.3,104.7,0.8,143.9,,,,,,,,,,
150,-6,17,213.5,101.4,0.7,111.4,,,,,,,,,,
151,-6,17,220.2,102.5,0.8,116.9,,,,,,,,,,
152,-6,17,213.3,100.5,0.7,112.1,,,,,,,,,,
153,-6,4,278.1,106.7,0.6,170.8,,,,,,,,,,
154,-6,4,261.3,101.2,0.8,159.3,,,,,,,,,,
155,-6,4,259,100.3,0.7,158.1,,,,,,,,,,
156,-6,5,252.8,102.7,0.4,149.7,,,,,,,,,,
157,-6,5,272.5,107.9,0.6,164,,,,,,,,,,
158,-6,5,250.7,101.6,0.7,148.5,,,,,,,,,,
159,-6,16,206.4,96.6,0.5,109.3,,,,,,,,,,
160,-6,16,213.5,103.5,0.5,109.6,,,,,,,,,,
161,-6,16,228.5,108.5,0.6,119.4,,,,,,,,,,
162,-6,5,254.7,102.2,0.8,151.7,,,,,,,,,,
163,-6,5,263.9,104.8,0.7,158.4,,,,,,,,,,
164,-6,5,270.5,106,0.8,163.8,,,,,,,,,,
165,-6,17,198.5,97.7,0.7,100.2,,,,,,,,,,
166,-6,17,195.2,93.3,0.8,101,,,,,,,,,,
167,-6,17,224.9,107.3,0.6,117,,,,,,,,,,
168,-6,8,252.8,106.2,0.6,146,,,,,,,,,,
169,-6,8,241.3,102.8,0.6,138,,,,,,,,,,
170,-6,8,246.9,102.4,0.8,143.7,,,,,,,,,,
171,-6,18,211.3,105.5,0.5,105.3,,,,,,,,,,
172,-6,18,190.1,94.3,0.6,95.1,,,,,,,,,,
173,-6,18,200.6,96.6,0.7,103.4,,,,,,,,,,
174,-6,17,198.5,97.2,0.8,100.4,,,,,,,,,,
175,-6,17,218,103.9,0.7,113.4,,,,,,,,,,
176,-6,17,200.7,97,1,102.6,,,,,,,,,,
177,-6,19,211.2,101.1,0.6,109.4,,,,,,,,,,
178,-6,19,195,95.3,1.1,98.5,,,,,,,,,,
179,-6,19,210,102.8,0.6,106.5,,,,,,,,,,
180,-6,3,268.7,104.4,0.7,163.6,,,,,,,,,,
