,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
341,[],3,7447.9,0.0,0.5,7447.4
342,[],3,7085.2,0.0,0.5,7084.6
343,[],3,8028.8,0.0,0.5,8028.3
344,[],3,6766.4,0.0,0.6,6765.9
345,[],4,7314.8,0.0,0.8,7314.0
346,[],4,7191.5,0.0,0.5,7191.0
347,[],4,7454.5,0.0,0.5,7454.0
348,[],4,7209.3,0.0,0.7,7208.6
349,[],4,7362.3,0.0,0.6,7361.7
350,[],4,7249.1,0.0,0.5,7248.7
351,[],4,7543.7,0.0,0.6,7543.1
352,[],4,6946.7,0.0,1.0,6945.7
353,[],4,7046.2,0.0,0.7,7045.6
354,[],4,7004.6,0.0,0.5,7004.0
355,[],4,7078.7,0.0,0.6,7078.1
356,[],4,7472.6,0.0,0.8,7471.9
357,[],4,7079.9,0.0,0.5,7079.4
358,[],4,7417.5,0.0,0.5,7417.0
359,[],4,7255.8,0.0,0.5,7255.3
360,[],5,7436.6,0.0,0.7,7435.9
361,[],5,7552.3,0.0,0.6,7551.7
362,[],5,6951.4,0.0,0.8,6950.6
363,[],5,7267.4,0.0,0.5,7266.9
364,[],5,7062.1,0.0,0.7,7061.3
365,[],5,7822.5,0.0,0.8,7821.7
366,[],5,6884.7,0.0,0.7,6884.0
367,[],5,7148.5,0.0,0.8,7147.7
368,[],5,7687.6,0.0,0.7,7686.9
369,[],5,7347.4,0.0,0.6,7346.8
370,[],5,7817.6,0.0,0.4,7817.2
371,[],5,7681.8,0.0,0.5,7681.3
372,[],5,7524.0,0.0,0.9,7523.1
373,[],5,7040.1,0.0,0.7,7039.3
374,[],5,7139.0,0.0,0.6,7138.4
375,[],2,7364.0,0.0,0.7,7363.3
376,[],2,6956.2,0.0,0.4,6955.8
377,[],2,6977.0,0.0,0.7,6976.3
378,[],2,6989.2,0.0,0.5,6988.7
379,[],2,7199.1,0.0,0.5,7198.6
380,[],2,7537.7,0.0,0.7,7537.0
381,[],2,7016.0,0.0,0.7,7015.3
382,[],2,7354.7,0.0,0.8,7353.9
383,[],2,7308.6,0.0,0.7,7308.0
384,[],2,7838.3,0.0,0.7,7837.6
385,[],2,7109.7,0.0,0.5,7109.1
386,[],2,6892.9,0.0,0.8,6892.0
387,[],2,7231.4,0.0,0.6,7230.8
388,[],2,7202.8,0.0,0.5,7202.2
389,[],2,7065.7,0.0,0.5,7065.2
390,[],1,7205.3,0.0,0.9,7204.4
391,[],1,7104.1,0.0,0.5,7103.6
392,[],1,7325.9,0.0,0.5,7325.5
393,[],1,7318.3,0.0,0.6,7317.6
394,[],1,7012.5,0.0,0.4,7012.0
395,[],1,7373.7,0.0,0.7,7373.0
396,[],1,6766.9,0.0,0.4,6766.5
397,[],1,6905.6,0.0,0.6,6905.0
398,[],1,6950.1,0.0,0.7,6949.4
399,[],1,6790.2,0.0,0.7,6789.5
400,[],1,7315.7,0.0,1.0,7314.7
401,[],1,7176.8,0.0,0.6,7176.2
402,[],1,7373.2,0.0,0.5,7372.6
403,[],1,7095.5,0.0,0.7,7094.7
404,[],1,6982.3,0.0,0.6,6981.7
405,[],2,7413.7,0.0,0.5,7413.2
406,[],2,7143.4,0.0,0.6,7142.9
407,[],2,7155.0,0.0,0.6,7154.4
408,[],2,6984.1,0.0,0.6,6983.5
409,[],2,7213.7,0.0,0.4,7213.3
410,[],2,7216.4,0.0,0.6,7215.8
411,[],2,7406.1,0.0,0.4,7405.7
412,[],2,7116.6,0.0,0.9,7115.8
413,[],2,7318.9,0.0,0.5,7318.4
414,[],2,7043.3,0.0,0.6,7042.6
415,[],2,7380.8,0.0,0.5,7380.3
416,[],2,6757.8,0.0,0.8,6757.0
417,[],2,6960.7,0.0,0.3,6960.4
418,[],2,7626.8,0.0,0.6,7626.1
419,[],2,7459.5,0.0,0.8,7458.7
420,[],3,7247.3,0.0,0.6,7246.7
421,[],3,7619.7,0.0,0.7,7618.9
422,[],3,7061.0,0.0,0.6,7060.3
423,[],3,7463.9,0.0,0.4,7463.5
424,[],3,7190.4,0.0,0.6,7189.8
425,[],3,7514.4,0.0,0.5,7513.9
426,[],3,7326.0,0.0,0.7,7325.3
427,[],3,7202.7,0.0,0.6,7202.1
428,[],3,7288.6,0.0,1.0,7287.6
429,[],3,7464.6,0.0,0.9,7463.6
430,[],3,7551.7,0.0,0.5,7551.3
431,[],3,6670.9,0.0,0.6,6670.4
432,[],3,7711.2,0.0,0.4,7710.9
433,[],3,7620.5,0.0,0.8,7619.7
434,[],3,7283.6,0.0,0.6,7283.0
435,[],4,7407.4,0.0,0.6,7406.8
436,[],4,6914.1,0.0,0.5,6913.6
437,[],4,7046.2,0.0,0.5,7045.7
438,[],4,7557.2,0.0,0.8,7556.4
439,[],4,6864.7,0.0,0.7,6864.0
440,[],4,7257.6,0.0,0.6,7257.0
441,[],4,7130.5,0.0,0.6,7129.8
442,[],4,7103.8,0.0,0.5,7103.4
443,[],4,6959.3,0.0,0.7,6958.6
444,[],4,6813.6,0.0,0.6,6813.0
445,[],4,7480.6,0.0,0.8,7479.8
446,[],4,7310.8,0.0,0.6,7310.2
447,[],4,7309.2,0.0,0.6,7308.6
448,[],4,6810.0,0.0,0.8,6809.2
449,[],4,6871.5,0.0,0.8,6870.7
450,[],0,7029.5,0.0,0.5,7029.0
451,[],0,6614.6,0.0,0.7,6614.0
452,[],0,7183.4,0.0,0.3,7183.1
453,[],0,7075.2,0.0,0.7,7074.4
454,[],0,6937.7,0.0,0.7,6937.0
455,[],0,6830.7,0.0,0.7,6830.0
456,[],0,7107.5,0.0,0.3,7107.1
457,[],0,7084.1,0.0,0.7,7083.4
458,[],0,7192.5,0.0,0.6,7191.9
459,[],0,7314.4,0.0,0.5,7313.8
460,[],0,6908.9,0.0,0.6,6908.4
461,[],0,7145.3,0.0,0.4,7144.9
462,[],0,7083.8,0.0,0.8,7083.0
463,[],0,6877.1,0.0,0.7,6876.4
464,[],0,7118.6,0.0,0.7,7117.9
465,[],2,7057.5,0.0,0.4,7057.1
466,[],2,7209.0,0.0,0.6,7208.5
467,[],2,7680.8,0.0,0.6,7680.2
468,[],2,7166.2,0.0,0.8,7165.3
469,[],2,7555.0,0.0,0.7,7554.3
470,[],2,7323.3,0.0,0.4,7322.9
471,[],2,7433.8,0.0,0.7,7433.1
472,[],2,6847.8,0.0,0.6,6847.1
473,[],2,7025.6,0.0,0.7,7024.8
474,[],2,6718.9,0.0,0.5,6718.4
475,[],2,6644.9,0.0,0.7,6644.2
476,[],2,7850.5,0.0,0.6,7850.0
477,[],2,7699.6,0.0,0.5,7699.1
478,[],2,7122.7,0.0,0.5,7122.2
479,[],2,7303.3,0.0,0.5,7302.8
480,[],4,7362.3,0.0,0.5,7361.8
481,[],4,7820.6,0.0,0.7,7819.8
482,[],4,6999.4,0.0,0.7,6998.7
483,[],4,7123.2,0.0,0.9,7122.2
484,[],4,7516.1,0.0,0.7,7515.3
485,[],4,8060.4,0.0,0.7,8059.7
486,[],4,6777.9,0.0,0.9,6777.0
487,[],4,7299.0,0.0,0.4,7298.6
488,[],4,6971.3,0.0,0.7,6970.6
489,[],4,7205.6,0.0,0.7,7204.9
490,[],4,7350.2,0.0,0.7,7349.6
491,[],4,7431.9,0.0,0.3,7431.6
492,[],4,6982.1,0.0,0.3,6981.8
493,[],4,7395.1,0.0,0.7,7394.4
494,[],4,7723.1,0.0,1.0,7722.1
495,[],2,7573.4,0.0,0.7,7572.8
496,[],2,7019.6,0.0,0.6,7018.9
497,[],2,7297.0,0.0,0.4,7296.6
498,[],2,7025.0,0.0,1.1,7024.0
499,[],2,7107.8,0.0,0.5,7107.3
500,[],2,7249.9,0.0,0.5,7249.4
501,[],2,7288.2,0.0,0.4,7287.8
502,[],2,7592.8,0.0,0.7,7592.1
503,[],2,7227.8,0.0,0.5,7227.2
504,[],2,7264.7,0.0,0.6,7264.1
505,[],2,6858.1,0.0,0.8,6857.3
506,[],2,7195.6,0.0,0.4,7195.2
507,[],2,6987.1,0.0,0.7,6986.5
508,[],2,7274.0,0.0,0.4,7273.5
509,[],2,7491.5,0.0,0.6,7490.9
510,[],5,6605.2,0.0,0.8,6604.3
511,[],5,7443.6,0.0,0.5,7443.1
512,[],5,6903.4,0.0,1.0,6902.4
513,[],5,7364.4,0.0,0.4,7364.0
514,[],5,7731.4,0.0,0.7,7730.8
515,[],5,7215.8,0.0,0.5,7215.3
516,[],5,7272.2,0.0,0.7,7271.5
517,[],5,7075.2,0.0,0.6,7074.5
518,[],5,7017.9,0.0,0.5,7017.4
519,[],5,7395.4,0.0,0.8,7394.6
520,[],5,7187.4,0.0,0.6,7186.8
521,[],5,7137.9,0.0,0.6,7137.3
522,[],5,7302.2,0.0,0.4,7301.8
523,[],5,6649.2,0.0,0.7,6648.5
524,[],5,7453.0,0.0,0.7,7452.2
525,[],2,7257.9,0.0,0.6,7257.4
526,[],2,7024.0,0.0,0.7,7023.4
527,[],2,6723.6,0.0,1.1,6722.5
528,[],2,7533.2,0.0,0.6,7532.6
529,[],2,7053.7,0.0,0.6,7053.1
530,[],2,7030.6,0.0,0.6,7030.1
531,[],2,7222.7,0.0,0.4,7222.3
532,[],2,7198.5,0.0,0.8,7197.6
533,[],2,7465.1,0.0,0.6,7464.5
534,[],2,7466.5,0.0,0.5,7466.1
535,[],2,7329.0,0.0,0.7,7328.3
536,[],2,7579.4,0.0,0.8,7578.6
537,[],2,7155.5,0.0,0.5,7155.0
538,[],2,7500.2,0.0,0.4,7499.7
539,[],2,7120.4,0.0,0.7,7119.7
540,[],2,7046.5,0.0,0.8,7045.7
541,[],2,7032.6,0.0,0.7,7031.9
542,[],2,7555.3,0.0,0.5,7554.8
543,[],2,7375.3,0.0,0.6,7374.7
544,[],2,7168.7,0.0,0.7,7168.0
545,[],2,7093.1,0.0,0.6,7092.5
546,[],2,7162.1,0.0,0.6,7161.5
547,[],2,7233.3,0.0,0.6,7232.6
548,[],2,7521.0,0.0,0.4,7520.6
549,[],2,7155.9,0.0,0.5,7155.4
550,[],2,7049.9,0.0,0.7,7049.2
551,[],2,7145.5,0.0,1.0,7144.5
552,[],2,7710.9,0.0,0.5,7710.4
553,[],2,6926.7,0.0,0.8,6925.9
554,[],2,6922.7,0.0,0.7,6922.1
555,[],4,6613.9,0.0,0.6,6613.3
556,[],4,7299.7,0.0,0.6,7299.2
557,[],4,7135.3,0.0,0.7,7134.6
558,[],4,7365.2,0.0,0.5,7364.7
559,[],4,7248.2,0.0,0.5,7247.8
560,[],4,7191.3,0.0,0.6,7190.6
561,[],4,7742.5,0.0,0.6,7741.9
562,[],4,6883.1,0.0,0.5,6882.6
563,[],4,6647.2,0.0,0.8,6646.4
564,[],4,7667.0,0.0,1.0,7666.0
565,[],4,7382.1,0.0,0.5,7381.6
566,[],4,7424.4,0.0,1.1,7423.3
567,[],4,6975.8,0.0,0.5,6975.3
568,[],4,6878.1,0.0,0.8,6877.2
569,[],4,6888.2,0.0,0.9,6887.3
570,[],2,7094.6,0.0,0.5,7094.1
571,[],2,7207.8,0.0,0.7,7207.1
572,[],2,7073.7,0.0,0.7,7073.0
573,[],2,7314.1,0.0,0.5,7313.6
574,[],2,8054.1,0.0,0.4,8053.7
575,[],2,6865.5,0.0,0.6,6864.8
576,[],2,7404.8,0.0,0.6,7404.3
