,reorder_point,order_size,total_cost,ordering_cost,holding_cost,shortage_cost
54,237,4,319.4,110.2,209.3,0.0
55,237,4,318.5,109.0,209.5,0.0
56,237,4,320.6,112.4,208.2,0.0
57,237,1,317.3,112.3,205.0,0.0
58,237,1,316.6,111.9,204.7,0.0
59,237,1,316.4,111.9,204.5,0.0
60,4,0,231.7,102.1,0.8,128.8
61,4,0,238.5,103.0,0.6,134.9
62,4,0,237.8,104.3,0.7,132.8
63,4,0,249.3,108.3,0.6,140.4
64,4,0,234.8,103.9,0.7,130.3
65,4,0,229.1,101.8,0.6,126.7
66,4,3,227.4,107.2,0.5,119.7
67,4,3,236.4,108.3,0.8,127.3
68,4,3,222.4,103.8,1.0,117.7
69,4,1,241.0,107.1,0.4,133.5
70,4,1,235.0,104.8,0.8,129.4
71,4,1,249.2,109.8,0.5,138.9
72,4,4,210.9,102.1,0.8,108.0
73,4,4,229.8,107.8,0.7,121.3
74,4,4,208.5,101.1,0.6,106.9
75,4,2,236.5,107.2,0.6,128.7
76,4,2,230.2,104.6,0.6,125.0
77,4,2,216.4,101.0,0.9,114.5
78,4,1,243.4,107.2,0.6,135.6
79,4,1,239.7,106.6,0.4,132.8
80,4,1,236.3,105.0,0.9,130.4
81,4,4,212.0,102.7,0.6,108.7
82,4,4,218.4,103.0,0.8,114.5
83,4,4,212.1,102.8,0.7,108.7
84,4,4,207.6,101.6,0.7,105.3
85,4,4,215.3,103.4,0.5,111.4
86,4,4,212.1,101.9,0.6,109.7
87,4,1,241.3,106.4,0.5,134.4
88,4,1,238.6,105.2,0.4,133.1
89,4,1,227.6,102.0,0.9,124.6
90,210,0,288.9,111.0,177.9,0.0
91,210,0,287.6,109.2,178.4,0.0
92,210,0,287.9,111.1,176.8,0.0
93,210,0,286.8,108.3,178.5,0.0
94,210,0,287.9,110.4,177.5,0.0
95,210,0,287.9,111.6,176.4,0.0
96,210,3,291.4,111.2,180.2,0.0
97,210,3,293.3,115.1,178.2,0.0
98,210,3,290.0,109.3,180.7,0.0
99,210,1,291.7,115.3,176.4,0.0
100,210,1,289.4,110.5,178.9,0.0
101,210,1,288.9,110.0,178.9,0.0
102,210,4,292.7,111.3,181.4,0.0
103,210,4,291.7,109.8,181.9,0.0
104,210,4,293.2,111.3,181.9,0.0
